Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.021006799,0.003081098,0.007448504,0,0.833333333,0.833333333
0.024429383,0.00398573,0.011197992,0,0.583333333,0.583333333
0.027926809,0,0.012088567,0,1.583333333,1.583333333
0.033619072,0,0.014758401,5.22E-05,0.833333333,0.833333333
0.037611337,0,0.015813976,0.000356712,1.166666667,1.166666667
0.046506096,0,0.020149427,0.000574848,2,2
0.051222896,0,0.024358472,0.00016727,2,2
0.048078362,0,0.027628486,0.000636799,1.416666667,1.416666667
0.044933829,0,0.028951059,0.000766246,0.416666667,0.416666667
0.041789296,0,0.026758995,0.000280413,0.583333333,0.583333333
0.041789296,0,0.026360068,0.00097248,1,1
0.046206743,0,0.025874894,0.00040285,0.416666667,0.416666667
0.047554379,0,0.025761094,0,0.583333333,0.583333333
0.044409846,0,0.028932902,0,1,1
0.041265313,0,0.029036502,0,1,1
0.038120779,0,0.027117816,0,0.416666667,0.416666667
0.034976246,0,0.020475658,0,0,0
0.020048301,0,0.015697892,0,0,0
0.00905961,7.69E-06,0.011774634,0,0,0
0.007871828,0,0.036763283,0,0,0
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0.583333333,0.583333333
0.005355677,0,0,0,0.416666667,0.416666667
0.010051014,0.006428849,0.007593038,0,0,0
0.022209162,0.001004177,0.010434923,0,0,0
0.025559822,0.001346208,0.01084055,0,0,0
0.028704355,0,0.014138973,0,0,0
0.034584997,0,0.016749003,1.89E-05,0,0
0.038171522,0,0.019337303,0.000139881,0,0
0.047539522,0,0.02121462,0.000333236,0.583333333,0.583333333
0.052256322,0,0.028273837,0.000375135,1,1
0.049111789,0,0.034495398,0.000132544,1.583333333,1.583333333
0.045967255,0,0.03432111,0.000657993,1.416666667,1.416666667
0.042822722,0,0.031330244,0.001252079,0.416666667,0.416666667
0.042822722,0,0.028013747,0.000842382,1.166666667,1.166666667
0.047800355,0,0.027643745,0.000382471,1.416666667,1.416666667
0.0497566,0,0.031368607,2.29E-05,1,1
0.046742483,0,0.034982104,0,1,1
0.04359795,0,0.033937747,0,1,1
0.040453417,0,0.031372088,0,0.416666667,0.416666667
0.037308883,0,0.025393584,0,0,0
0.020048301,0,0.019703264,0,0,0
0.009038147,0,0.01286844,0,0,0
0.007871828,0,0.037381035,0,0,0
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.005983879,0.009826835,0,0,0
0.022209162,0.000945069,0.0116193,0,0,0
0.025559822,0.001564936,0.011624054,0,0,0
0.028704355,0,0.013708522,0,0,0
0.034802358,0,0.016323566,0,0,0
0.038301938,0,0.0189543,2.18E-05,0,0
0.047539522,0,0.021023937,0.000189605,0,0
0.052256322,0,0.028845626,0.000549578,0.583333333,0.583333333
0.049111789,0,0.036413245,0.00078744,1.583333333,1.583333333
0.045967255,0,0.036774304,0.001022042,2.583333333,2.583333333
0.042822722,0,0.032669414,0.001223711,2.416666667,2.416666667
0.042822722,0,0.029438088,0.00108758,2,2
0.047930771,0,0.029117189,0.000419805,2,2
0.049887016,0,0.033458979,2.36E-05,0.833333333,0.833333333
0.046742483,0,0.036936727,0,0,0
0.04359795,0,0.03487459,0,0,0
0.040453417,0,0.032465518,0,0,0
0.037308883,0,0.026187025,0,0,0
0.020048301,0,0.020310722,0,0,0
0.009038147,0,0.013359722,0,0,0
0.007871828,0,0.037537444,0,0,0
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.005807334,0.008690481,0,0,0
0.022209162,0.000733096,0.010492136,0,0,0
0.025559822,0.001418802,0.010893851,0,0,0
0.028704355,0,0.013746894,0,0,0
0.03484583,0,0.016402364,0,0,0
0.038475827,0,0.018923112,2.28E-06,0,0
0.047539522,0,0.020939042,9.86E-05,0,0
0.052256322,0,0.029019018,0.000564414,1.166666667,1.166666667
0.049111789,0,0.037343233,0.000978023,1.416666667,1.416666667
0.045967255,0,0.038388262,0.001136653,1.583333333,1.583333333
0.042822722,0,0.034014322,0.001223874,2,2
0.042822722,0,0.030418836,0.00109296,2,2
0.047865563,0,0.030218596,0.000430565,2,2
0.049821808,0,0.034695802,2.43E-05,0.833333333,0.833333333
0.046742483,0,0.03794166,0,0,0
0.04359795,0,0.035219128,0,0,0
0.040453417,0,0.033103316,0,0,0
0.037308883,0,0.026954586,0,0,0
0.020048301,0,0.020767988,0,0,0
0.009038147,0,0.013620961,0,0,0
0.007871828,0,0.037650398,0,0,0
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.005752831,0.008686561,0,0,0
0.022209162,0.000650296,0.01049819,0,0,0
0.025559822,0.001325176,0.010896988,0,0,0
0.028704355,0,0.013874914,0,0,0
0.034758886,0,0.016627972,0,0,0
0.038214994,0,0.01963311,6.10E-05,0,0
0.047539522,0,0.022069455,0.000403828,0.583333333,0.583333333
0.052256322,0,0.031199307,0.000804721,1.583333333,1.583333333
0.049111789,0,0.040888052,0.001173661,2,2
0.045967255,0,0.042176737,0.001440053,2.583333333,2.583333333
0.042822722,0,0.036751153,0.001391633,3,3
0.042822722,0,0.032238259,0.00111497,2.416666667,2.416666667
0.047930771,0,0.032428565,0.000441325,2,2
0.049821808,0,0.037349528,2.51E-05,1.416666667,1.416666667
0.046742483,0,0.041728375,0,1,1
0.04359795,0,0.039200133,0,0.416666667,0.416666667
